movies_id,id,year,exclude,film,lead studio,rotten tomatoes,audience score,story,genre,number of theatres in opening weekend us,box office average per cinema,domestic gross,foreign gross,worldwide gross,budget,profit,proftitability,opening weekend,oscar,bafta,source,column
movies-0493,494,200,True,the sisterhood of the traveling pants 2,,63.0,68,journey and return,drama,2707.0,0.003945,4.4090000000000006e-05,,4.4200000000000004e-05,2.7e-05,1.7199999999999998e-05,1.64,1.068e-05,,,,
movies-0494,495,200,,the spiderwick chronicles,paramount,79.0,67,fish out of water,adventure,3847.0,0.00494,7.120000000000001e-05,9.164e-05,0.0001628,9.25e-05,7.03e-05,1.76,1.9e-05,,,,
movies-0495,496,200,,the spirit,lionsgate,14.0,29,rivalry,action,2509.0,0.002576,1.775e-05,1.923e-05,2.15e-05,6e-06,1.55e-05,3.58,6.5e-06,,,,
movies-0496,497,200,,the strangers,relativity media,44.0,48,escape,horror,2466.0,0.008515,5.2600000000000005e-05,2.9789999999999998e-05,7.759999999999999e-05,9e-06,6.86e-05,8.62,2.0989999999999997e-05,,,,
movies-0497,498,200,,the tale of despereaux,universal,54.0,46,rescue,animation,3104.0,0.003255,5.087e-05,3.7840000000000004e-05,8.872e-05,5.5e-05,3.3719999999999996e-05,1.61,1.01e-05,,,,
movies-0498,499,200,,the visitor,independent,92.0,83,transformation,drama,,,9.43e-06,8.65e-06,1.808e-05,4e-06,1.408e-05,4.52,9e-08,,,http://www.the-numbers.com/movies/2008/vistr.php,
movies-0499,500,200,,the women,warner bros.,13.0,41,transformation,drama,2962.0,0.003415,2.69e-05,2.311e-05,4.61e-05,1.6e-05,3.01e-05,2.88,1.012e-05,,,,
movies-0500,501,200,,the x-files: i want to believe,fox,32.0,34,monster force,thriller,3185.0,0.003147,2.098e-05,4.739e-05,6.829999999999999e-05,3.5e-05,3.3299999999999996e-05,1.95,1.01e-05,,,,
movies-0501,502,200,,traitor,liberty starz,55.0,66,pursuit,thriller,2054.0,0.003831,2.353e-05,4.13e-06,2.5300000000000002e-05,2.2e-05,3.2999999999999997e-06,1.15,7.9e-06,,,,
movies-0502,503,200,,transporter 3,independent,36.0,58,escape,action,2626.0,0.004594,3.172e-05,7.726e-05,6.0899999999999996e-05,3e-05,3.09e-05,2.03,1.206e-05,,,,
movies-0503,504,200,,tropic thunder,paramount,83.0,69,fish out of water,comedy,3319.0,0.007777,0.00011046,7.758e-05,0.000188,9e-05,9.8e-05,2.09,2.581e-05,,,,
movies-0504,505,200,,twilight,summit,49.0,82,love,romance,3419.0,0.020368,0.00017682,0.00019985,0.0002465,3.7e-05,0.0002095,6.66,6.964e-05,,,,
movies-0505,506,200,,tyler perry's meet the browns,independent,31.0,36,discovery,drama,2006.0,0.010011,4.1979999999999994e-05,0.0,4.1979999999999994e-05,2e-05,2.198e-05,2.1,2.0079999999999997e-05,,,,
movies-0506,507,200,,tyler perry's the family that preys,independent,51.0,36,discovery,drama,2070.0,0.008397,3.711e-05,0.0,3.711e-05,1e-05,2.711e-05,3.71,1.738e-05,,,,
movies-0507,508,200,True,under the same moon,,72.0,80,quest,drama,266.0,0.010412,1.259e-05,,2.3e-05,1.7e-06,2.13e-05,13.53,2.8e-06,,,,
movies-0508,509,200,,untraceable,independent,14.0,56,the riddle,thriller,2368.0,0.004795,2.869e-05,2.397e-05,5.25e-05,3.5e-05,1.75e-05,1.5,1.1400000000000001e-05,,,,
movies-0509,510,200,,valkyrie,mgm,58.0,66,sacrifice,thriller,2711.0,0.007756,6.0689999999999997e-05,0.0001172,0.000184,7.5e-05,0.000109,2.45,2.103e-05,,,,
movies-0510,511,200,True,vantage point,,36.0,61,the riddle,action,3149.0,0.007264,7.227e-05,,0.0001512,4e-05,0.0001112,3.78,2.287e-05,,,,
movies-0511,512,200,,vicky cristina barcelona,the weinstein company,82.0,73,temptation,romance,692.0,0.005427,2.284e-05,,7.72e-05,1.6e-05,6.12e-05,4.83,3.7599999999999996e-06,,,,
movies-0512,513,200,True,w.,,58.0,43,rivalry,biography,2030.0,0.005175,2.553e-05,,2.9e-05,2.51e-05,3.9e-06,1.16,1.05e-05,,,,
movies-0513,514,200,,wall-e,disney,96.0,89,love,animation,3992.0,0.015803,0.00022378,,0.0005073,0.00018,0.0003273,2.82,6.309000000000001e-05,animated,animated,,
movies-0514,515,200,,wanted,universal,73.0,72,transformation,action,3175.0,0.01604,0.00013433000000000002,,0.0003421,7.5e-05,0.00026710000000000004,4.56,5.093e-05,,,,
